one two three
5.212 5.245 5.844
3.727 4.034 4.349
1.061 1.081 1.479
3.707 4.014 4.328
3.051 3.351 3.648
2.533 2.560 3.063
1.934 2.193 2.459
3.290 3.598 3.901
0.439 0.576 0.734
1.907 1.932 2.407
5.156 5.189 5.788
4.859 4.891 5.488
3.388 3.417 3.957
2.271 2.298 2.790
4.022 4.336 4.657
1.935 2.194 2.460
3.385 3.696 4.002
5.589 5.935 6.264
2.608 2.896 3.179
0.825 0.843 1.199
3.555 3.857 4.168
4.257 4.576 4.900
0.651 0.819 1.008
4.898 4.931 5.520
4.640 4.965 5.294
3.441 3.470 4.013
1.939 2.209 2.476
2.310 2.336 2.824
1.064 1.286 1.514
2.747 3.039 3.326
2.278 2.305 2.797
4.333 4.365 4.950
5.047 5.079 5.678
0.942 1.153 1.372
4.341 4.372 4.958
1.601 1.692 2.071
5.485 6.083 6.431
6.146 6.793 7.109
0.849 1.242 1.467
1.788 1.876 2.328
4.622 4.692 5.164
1.560 2.024 2.272
5.240 5.871 6.218
4.895 5.497 5.858
4.426 5.076 5.405
3.842 4.152 4.470
1.264 1.286 1.708
3.251 3.279 3.820
2.212 2.238 2.727
3.881 4.206 4.524
1.234 1.256 1.670
2.630 3.093 3.382
1.967 2.281 2.665
3.333 3.952 4.264
1.137 1.197 1.501
0.880 1.214 1.437
1.346 1.355 1.699
0.938 1.262 1.489
2.240 2.797 3.078
0.211 0.315 0.483
1.988 2.059 2.462
3.566 3.882 4.155
4.280 4.603 4.938
2.307 2.579 2.829
0.735 1.022 1.231
4.581 4.613 5.205
5.565 5.598 6.197
0.805 1.001 1.207
3.840 3.870 4.439
1.877 1.902 2.375
5.934 6.278 6.603
5.496 5.529 6.120
0.369 0.381 0.625
1.144 1.373 1.606
3.090 3.119 3.644
3.480 3.509 4.062
1.954 1.979 2.456
2.028 2.053 2.534
4.461 4.798 5.125
1.242 1.264 1.684
0.090 0.136 0.198
0.679 0.695 1.025
4.342 4.663 4.988
6.775 6.807 7.366
2.864 2.892 3.405
0.991 1.197 1.419
5.699 5.732 6.322
4.992 5.321 5.652
0.282 0.387 0.514
0.191 0.275 0.379
1.827 2.082 2.345
1.171 1.193 1.599
1.834 1.859 2.323
0.509 0.664 0.834
1.141 1.369 1.602
0.911 0.930 1.300
0.898 0.917 1.285
2.474 2.747 3.027
3.465 3.764 4.073
1.659 1.683 2.136
1.182 1.204 1.612
0.967 0.987 1.371
0.628 0.793 0.978
3.712 3.742 4.306
0.453 0.599 0.761
1.325 1.347 1.770
0.357 0.483 0.628
3.871 4.196 4.514
3.835 3.866 4.427
4.678 5.003 5.332
5.526 5.871 6.201
1.521 1.773 2.025
1.898 1.923 2.397
0.532 0.684 0.856
4.401 4.737 5.063
5.128 5.160 5.759
4.444 4.767 5.094
5.145 5.489 5.820
0.162 0.232 0.324
2.610 2.887 3.170
1.398 1.421 1.851
0.775 0.959 1.162
3.641 3.946 4.258
1.891 2.148 2.413
0.981 1.000 1.382
1.121 1.142 1.548
0.132 0.194 0.288
1.082 1.292 1.525
2.700 3.014 3.312
0.863 1.166 1.386
2.022 2.048 2.357
1.013 1.339 1.568
1.238 1.600 1.852
1.075 1.100 1.365
1.172 1.493 1.735
2.107 2.515 2.792
2.384 2.411 2.628
2.882 3.177 3.469
3.512 3.542 4.089
5.663 5.994 6.322
4.146 4.463 4.785
0.966 0.986 1.365
0.374 0.504 0.652
1.892 1.918 2.385
5.708 6.054 6.381
5.388 5.422 6.013
3.336 3.749 4.057
2.721 2.757 3.236
0.648 0.872 1.071
0.221 0.357 0.482
0.548 0.646 0.879
2.097 2.418 2.704
2.889 3.331 3.627
0.967 1.032 1.435
3.744 4.232 4.551
3.316 3.778 4.087
1.599 1.623 2.077
0.004 1.384 10.34
1.147 1.168 1.577
0.003 0.713 9.573
0.675 0.691 1.016
1.765 2.018 2.279
0.770 1.000 1.207
3.734 4.149 4.415
5.535 5.976 6.289
3.523 3.623 4.189
3.525 3.886 4.111
0.583 0.742 0.922
0.261 0.421 0.554
2.066 2.377 2.609
2.862 3.217 3.510
1.156 1.475 1.704
1.810 1.835 2.304
0.683 0.855 1.048
4.647 4.679 5.272
0.502 0.656 0.825
3.334 3.363 3.901
2.496 2.769 3.049
3.924 4.251 4.569
1.344 1.367 1.798
2.615 2.642 3.149
0.852 1.053 1.264
0.699 0.716 1.046
1.227 1.248 1.667
3.862 4.195 4.516
0.734 0.976 1.180
1.172 1.215 1.616
3.578 3.847 4.253
3.665 4.017 4.351
3.184 3.626 3.909
2.202 2.228 2.711
1.531 1.777 2.030
0.673 0.894 1.088
0.939 1.136 1.353
5.467 5.855 6.118
0.928 0.965 1.347
1.932 2.225 2.495
0.904 1.074 1.321
2.029 2.344 2.611
1.181 1.181 1.630
0.312 0.447 0.533
0.234 0.334 0.449
0.972 1.105 1.436
1.959 1.984 2.461
0.132 0.192 0.273
1.918 2.188 2.454
0.521 0.678 0.850
0.221 0.311 0.422
3.752 4.060 4.375
2.236 2.263 2.747
